"No.","Time","Source","Data length [bytes]","Leftover Capture Data","AT Stream","Info"
"79","2.460074","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"81","2.474354","1.5.2","8","31332e30560d0d3e","","URB_BULK in"
"89","5.475780","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"91","5.490518","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"93","8.493544","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"95","8.508433","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"97","11.510350","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"99","11.524664","1.5.2","8","31332e31560d0d3e","","URB_BULK in"
"101","14.526063","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"103","14.540822","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"105","17.543905","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"107","17.558751","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"109","20.562692","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"111","20.577503","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"113","23.583762","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"115","23.598502","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"117","26.603123","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"119","26.617934","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"121","29.622250","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"123","29.636991","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"125","32.639690","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"127","32.654590","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"129","35.659224","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"131","35.674180","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"133","38.678176","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"135","38.692937","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"137","41.697176","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"139","41.712088","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"141","44.715394","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"143","44.730300","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"145","47.731809","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"147","47.746586","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"149","50.752190","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"151","50.766936","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"153","53.770833","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"155","53.785658","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"157","56.790098","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"159","56.804970","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"161","59.808560","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"163","59.823387","1.5.2","8","31342e34560d0d3e","","URB_BULK in"
"165","59.860345","host","6","31303033310d","","URB_BULK out"
"167","59.882898","1.5.2","15","3530303330303332303146340d0d3e","","URB_BULK in"
"169","59.884609","host","8","323244313030310d","","URB_BULK out"
"171","59.906430","1.5.2","11","36324431303030330d0d3e","","URB_BULK in"
"173","59.908785","host","5","323730330d","","URB_BULK out"
"175","59.928160","1.5.2","19","3031320d303a3637303343433934363345300d","","URB_BULK in"
"177","59.939604","1.5.2","17","313a33313144413032413845353645390d","","URB_BULK in"
"179","59.947106","1.5.2","17","323a32394137413835314435303030300d","","URB_BULK in"
"181","59.953822","host","1","73","","URB_BULK out"
"183","59.958764","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"185","59.961028","host","7","","ATCAF0\\r","URB_BULK out, Sent AT Command: ATCAF0 "
"187","59.969797","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"189","59.973460","host","17","313031323237303439353946354146310d","","URB_BULK out"
"191","59.989253","1.5.2","17","333030303030303030303030303030300d","","URB_BULK in"
"193","59.997927","host","1","73","","URB_BULK out"
"195","60.002892","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"197","60.007825","host","5","","ATR0\\r","URB_BULK out, Sent AT Command: ATR0 "
"199","60.016058","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"201","60.020941","host","17","323130343741363846303044313742380d","","URB_BULK out"
"203","60.031936","1.5.2","2","0d3e","","URB_BULK in"
"205","60.038286","host","5","","ATR1\\r","URB_BULK out, Sent AT Command: ATR1 "
"207","60.046611","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"209","60.051412","host","13","3232433435313435414638300d","","URB_BULK out"
"211","60.067762","1.5.2","17","303236373034303030303030303030300d","","URB_BULK in"
"213","60.076796","host","1","73","","URB_BULK out"
"215","60.081767","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"217","60.202322","host","17","313031413245444530303032303739390d","","URB_BULK out"
"219","60.218428","1.5.2","17","333030303030303030303030303030300d","","URB_BULK in"
"221","60.227353","host","1","73","","URB_BULK out"
"223","60.232294","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"225","60.236456","host","5","","ATR0\\r","URB_BULK out, Sent AT Command: ATR0 "
"227","60.244737","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"229","60.248400","host","17","323144324141313032394135313641340d","","URB_BULK out"
"231","60.259377","1.5.2","2","0d3e","","URB_BULK in"
"233","60.262735","host","17","323234303030303030303030303030300d","","URB_BULK out"
"235","60.273726","1.5.2","2","0d3e","","URB_BULK in"
"237","60.276022","host","5","","ATR1\\r","URB_BULK out, Sent AT Command: ATR1 "
"239","60.284303","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"241","60.285212","host","15","32333030303030303030303030300d","","URB_BULK out"
"243","60.337058","1.5.2","17","303337463245373830303030303030300d","","URB_BULK in"
"245","60.479500","1.5.2","17","303336454445303030303030303030300d","","URB_BULK in"
"247","60.488675","host","1","73","","URB_BULK out"
"249","60.493690","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"251","61.519683","host","7","","ATCAF1\\r","URB_BULK out, Sent AT Command: ATCAF1 "
"253","61.528492","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"255","61.533137","host","8","323244313030310d","","URB_BULK out"
"257","61.545853","1.5.2","11","36324431303030330d0d3e","","URB_BULK in"
"259","61.552538","host","6","31303031310d","","URB_BULK out"
"261","61.567168","1.5.2","15","3530303130303332303146340d0d3e","","URB_BULK in"
"263","62.588872","host","6","31313031310d","","URB_BULK out"
"265","62.606754","1.5.2","7","353130310d0d3e","","URB_BULK in"
"267","65.612861","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"269","65.627844","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"271","68.631835","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"273","68.646670","1.5.2","8","31342e36560d0d3e","","URB_BULK in"
"275","71.650769","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"277","71.665752","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"279","74.668891","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"281","74.683771","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"283","77.688525","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"285","77.703317","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"287","79.923804","host","6","31303033310d","","URB_BULK out"
"289","79.953078","1.5.2","24","3530303330303332303146343c5258204552524f520d0d3e","","URB_BULK in"
"291","79.955969","host","6","31303033310d","","URB_BULK out"
"293","79.978649","1.5.2","15","3530303330303332303146340d0d3e","","URB_BULK in"
"295","79.980117","host","8","323244313030310d","","URB_BULK out"
"297","79.998127","1.5.2","11","36324431303030330d0d3e","","URB_BULK in"
"299","80.000423","host","5","323730330d","","URB_BULK out"
"301","80.020126","1.5.2","19","3031320d303a3637303343433934363345300d","","URB_BULK in"
"303","80.029439","1.5.2","17","313a33313144413032413845353645390d","","URB_BULK in"
"305","80.039934","1.5.2","17","323a32394137413835314435303030300d","","URB_BULK in"
"307","80.048277","host","1","73","","URB_BULK out"
"309","80.053221","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"311","80.054828","host","7","","ATCAF0\\r","URB_BULK out, Sent AT Command: ATCAF0 "
"313","80.063474","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"315","80.066129","host","17","313031323237303439353946354146310d","","URB_BULK out"
"317","80.083631","1.5.2","17","333030303030303030303030303030300d","","URB_BULK in"
"319","80.092444","host","1","73","","URB_BULK out"
"321","80.097426","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"323","80.098468","host","5","","ATR0\\r","URB_BULK out, Sent AT Command: ATR0 "
"325","80.106648","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"327","80.107995","host","17","323130343741363846303044313742380d","","URB_BULK out"
"329","80.119130","1.5.2","2","0d3e","","URB_BULK in"
"331","80.124498","host","5","","ATR1\\r","URB_BULK out, Sent AT Command: ATR1 "
"333","80.132793","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"335","80.137146","host","13","3232433435313435414638300d","","URB_BULK out"
"337","80.159072","1.5.2","17","303236373034303030303030303030300d","","URB_BULK in"
"339","80.166708","host","1","73","","URB_BULK out"
"341","80.171738","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"343","80.292591","host","17","313031413245444530303032303739390d","","URB_BULK out"
"345","80.308860","1.5.2","17","333030303030303030303030303030300d","","URB_BULK in"
"347","80.315530","host","1","73","","URB_BULK out"
"349","80.320477","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"351","80.325191","host","5","","ATR0\\r","URB_BULK out, Sent AT Command: ATR0 "
"353","80.333415","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"355","80.335795","host","17","323144414141313032394135313641340d","","URB_BULK out"
"357","80.346736","1.5.2","2","0d3e","","URB_BULK in"
"359","80.349600","host","17","323234303030303030303030303030300d","","URB_BULK out"
"361","80.360592","1.5.2","2","0d3e","","URB_BULK in"
"363","80.363036","host","5","","ATR1\\r","URB_BULK out, Sent AT Command: ATR1 "
"365","80.371344","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"367","80.372236","host","15","32333030303030303030303030300d","","URB_BULK out"
"369","80.419091","1.5.2","17","303337463245373830303030303030300d","","URB_BULK in"
"371","80.551054","1.5.2","17","303336454445303030303030303030300d","","URB_BULK in"
"373","80.560216","host","1","73","","URB_BULK out"
"375","80.565233","1.5.2","10","53544f505045440d0d3e","","URB_BULK in"
"377","81.592743","host","7","","ATCAF1\\r","URB_BULK out, Sent AT Command: ATCAF1 "
"379","81.601467","1.5.2","5","4f4b0d0d3e","","URB_BULK in"
"381","81.605079","host","8","323244313030310d","","URB_BULK out"
"383","81.617848","1.5.2","11","36324431303030330d0d3e","","URB_BULK in"
"385","81.623067","host","6","31303031310d","","URB_BULK out"
"387","81.639669","1.5.2","15","3530303130303332303146340d0d3e","","URB_BULK in"
"389","82.653527","host","6","31313031310d","","URB_BULK out"
"391","82.676684","1.5.2","7","353130310d0d3e","","URB_BULK in"
"393","85.679320","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"395","85.694223","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"397","88.697961","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"399","88.712748","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"401","91.715575","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"403","91.730598","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
"405","94.734218","host","5","","ATRV\\r","URB_BULK out, Sent AT Command: ATRV "
"407","94.749100","1.5.2","8","31342e35560d0d3e","","URB_BULK in"
